F,020200001,予期せぬエラーが発生しました。,システムを再起動してください。再起動後も問題が解決しない場合は、サービスパーソンに連絡してください。
F,020200002,システム起動に失敗しました。,システムを再起動してください。再起動後も問題が解決しない場合は、サービスパーソンに連絡してください。
E,020201001,内部エラーが発生しました。,再度実行してください。問題が解決しない場合は、サービスパーソンに連絡してください。
E,020201003,センサーのバッテリー残量が低下しています。,充電してください。
E,020201004,パターンファイルの読み込みに予期せぬエラーが発生したため、ガンマ調整できません。,システムを再起動してください。再起動後も問題が解決しない場合は、サービスパーソンに連絡してください。
E,020201005,バーコードリーダーへの接続に失敗しました。,ケーブルが正しく接続されていることを確認し、システムを再起動してください。再起動後も問題が解決しない場合は、サービスパーソンに連絡してください。
E,020201006,指定された検査を開始できませんでした。,検査画面に戻って再度実行してください。
E,020201007,センサー通信エラーが発生しました。,このプロトコルで再撮影を行ってください。問題が解決しない場合は、サービスパーソンに連絡してください。
E,020201008,センサーの温度が動作可能な範囲を超過しました。,電源投入のまましばらく使用を停止してください。
E,020201009,オーバーラップソフトの起動に失敗しました。,システムを再起動してください。再起動後も問題が解決しない場合は、サービスパーソンに連絡してください。
E,020201010,センサーのバッテリー残量が低下しています。,充電してください。
E,020201011,センサーにバッテリーが装着されていないため、撮影できません。,撮影を行う場合はセンサーにバッテリーを装着してください。
E,020201012,センサーのバッテリーが不足しているため、撮影できません。,充電してください。
E,020201013,センサーのバッテリーが不足しているため、撮影できません。,充電してください。
E,020201014,手動同期モードを開始できませんでした。,手動同期モードをキャンセルして、再度実行してください。
E,020201015,内部エラーが発生しました。,手動同期モードを終了します。
W,020202001,センサーの温度が動作可能な範囲を超過する恐れがあります。,電源投入のまましばらく使用を控えてください。
W,020202002,センサーの温度が動作可能な範囲を超過しました。,電源投入のまましばらく使用を停止してください。
W,020202003,センサーが利用できなくなりました。照射終了しました。,
W,020202004,センサーのバッテリー残量が低下しています。,充電してください。
W,020202005,指定容量を削除できませんでした。,
W,020202006,EItが設定されていないため、DIのチェックが行えませんでした。,
E,030100001,キャリブレーションデータがありません。,QCツールより、キャリブレーションを行ってください。
E,03010000A,データベースのバックアップに失敗しました。,設定内容を確認してください。
E,03010000E,予期せぬエラーが発生しました。,システムを再起動してください。再起動後も問題が解決しない場合は、サービスパーソンに連絡してください。
E,03010000F,照射キャンセルを失敗しました。,しばらく経ってから再度実行してください。
E,030100010,内部エラーが発生しました。,
E,030100011,内部エラーが発生しました。,
F,030100002,必要なサービスの起動に失敗しました。,システムを再起動してください。再起動後も問題が解決しない場合は、サービスパーソンに連絡してください。
